gauge_id,KGE_similarity3,KGE_similarity5,KGE_similarity7,KGE_similarity10,KGE_similarity15,KGE_similarity20,KGE_similarity25,KGE_similarity30,KGE_similarity40,KGE_similarity50,KGE_similarity75,KGE_similarity100,KGE_similarity150,KGE_similarity200,KGE_similarity250,KGE_similarity300,KGE_similarity350,KGE_similarity400,KGE_similarity450,KGE_similarity500,KGE_similarity550,KGE_similarity600,gauge_lon,gauge_lat,max_KGE
camels_14138800,0.6300563,0.64055477,0.67102057,0.72220161,0.72516171,0.70494651,0.6970101,0.74893112,0.76455739,0.74744229,0.72288125,0.69185014,0.74669483,0.70191765,0.72458628,0.73928832,0.72470325,0.72041506,0.72647914,0.72149018,0.72501884,0.72436949,-121.89147,45.45262,45.45262
camels_14138870,0.60792924,0.60424506,0.63900441,0.62896114,0.6501588,0.66368308,0.66591631,0.6622083,0.65058409,0.6739043,0.67016344,0.66543873,0.6837947,0.6977771,0.68483476,0.69754427,0.68623513,0.68194296,0.69329333,0.67687441,0.67373731,0.67454739,-122.02564,45.48012,45.48012
camels_14138900,0.58395786,0.55565427,0.58899269,0.59012774,0.60018767,0.59661225,0.62436036,0.6298498,0.63224375,0.63178869,0.62359215,0.64441932,0.64866905,0.64276641,0.64570605,0.64188039,0.63983317,0.63919644,0.64333394,0.64049968,0.64398961,0.64581725,-122.03592,45.49429,45.49429
camels_14139800,0.61712815,0.61846375,0.71715051,0.72109173,0.72012654,0.75006135,0.7130773,0.7270135,0.68949747,0.72021814,0.77588601,0.75956515,0.76643575,0.76444427,0.77517724,0.81945561,0.8284851,0.82717523,0.82678189,0.82792337,0.82999395,0.83067557,-122.10953,45.44456,45.44456
camels_14141500,0.77453635,0.85670144,0.85579005,0.81511151,0.89605885,0.88016624,0.91899673,0.92126845,0.86880311,0.91222952,0.917397,0.94625345,0.93804893,0.94121117,0.92043312,0.87363928,0.87883187,0.92439379,0.91257521,0.92017431,0.92516732,0.90548559,-122.17148,45.4154,45.4154
camels_14154500,0.82049527,0.82427537,0.70060406,0.70705918,0.61555624,0.65545821,0.72713576,0.69304289,0.84888486,0.80049738,0.52157344,-1.28557921,-1.3673719,0.1495585,0.41026777,0.18813877,0.23110027,0.16264893,0.22810589,0.38395531,0.37119955,0.40941915,-122.8734,43.73596,43.73596
camels_14158500,-0.04838396,-0.09832233,-0.12179522,0.13652612,-0.14377799,0.01238355,-0.05050059,0.06249271,0.18447142,0.18648576,0.38502507,0.60028969,0.65421767,0.15769179,0.19727648,0.29409735,0.5434042,0.51122514,0.53924026,0.31653244,0.32809413,0.36317404,-121.99562,44.36095,44.36095
camels_14158790,0.49236774,0.55511935,0.5379013,0.47308931,0.45804268,0.41744,0.41711888,0.43974206,0.40655099,0.39599229,0.39912042,0.42854869,0.45517727,0.47060468,0.65509423,0.59620159,0.59915098,0.62424235,0.74907397,0.74549731,0.72043794,0.70162428,-122.04701,44.33457,44.33457
camels_14166500,-0.09001118,-0.07749807,-0.09496106,-0.09939622,0.76391992,0.65620889,0.7365638,0.47088915,0.71678218,0.71260089,0.53522424,0.50577142,0.72870287,0.62733915,0.51758883,0.63614218,0.67651926,0.73667763,0.73980089,0.63675804,0.61893871,0.62571208,-123.42621,44.04984,44.04984
camels_14182500,0.85687267,0.92673619,0.94350022,0.95219569,0.92739976,0.94957034,0.95346884,0.94794029,0.94520543,0.89090286,0.93402136,0.94057026,0.92208959,0.92145565,0.93808345,0.94549797,0.91688482,0.92553099,0.88787424,0.94742479,0.94557454,0.9437652,-122.57897,44.79151,44.79151
camels_14185000,0.38704554,0.47120538,0.55140047,0.30217681,0.24649271,0.33919727,0.37022793,0.34668323,0.38156765,0.4593062,0.59965306,0.65162726,0.66252886,0.65490108,0.6425499,0.65946219,0.64495002,0.65272532,0.62674506,0.6416636,0.64046443,0.62123966,-122.49758,44.39179,44.39179
