Unnamed: 0,gauge_id,KGE_similarity3,KGE_similarity5,KGE_similarity7,KGE_similarity10,KGE_similarity15,KGE_similarity20,KGE_similarity25,KGE_similarity30,KGE_similarity40,KGE_similarity50,KGE_similarity75,KGE_similarity100,KGE_similarity150,KGE_similarity200,KGE_similarity250,KGE_similarity300,KGE_similarity350,KGE_similarity400,KGE_similarity450,KGE_similarity500,KGE_similarity550,KGE_similarity600,KGE_geo3,KGE_geo5,KGE_geo7,KGE_geo10,KGE_geo15,KGE_geo30,KGE_geo40,KGE_geo50,KGE_geo75,KGE_geo100,KGE_geo150,KGE_geo200,KGE_geo250,KGE_geo300,KGE_geo350,KGE_geo400,KGE_geo450,KGE_geo500,KGE_geo550,KGE_geo600,max_kge,max_kge_source_column,max_geo_kge,max_geo_kge_column,max_similarity_kge,max_similarity_kge_column,max_geo_N,max_similarity_N,gauge_lat,gauge_lon,area,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,p_mean,seasonality_FAO_PM,ire_pc_sse,kar_pc_sse,slp_dg_sav,for_pc_sse,cly_pc_sav,snd_pc_sav,dor_pc_pva,KGE_geo20,KGE_geo25
10,1078000,0.89612089,0.90913696,0.91073631,0.88660284,0.89152812,0.88698148,0.88895589,0.89594734,0.80245956,0.76064699,0.71526249,0.6683819,0.80507468,0.76488054,0.768712,0.79286878,0.78551713,0.76188599,0.81014166,0.42855474,0.81593935,0.86524333,0.73194883,0.54476606,0.78820713,0.87427715,0.76310936,0.86591588,0.87349026,0.82267125,0.83211111,0.79667542,0.80793593,0.76871857,0.8019631,0.80356831,0.80213974,0.7985035,0.82979962,0.89034668,0.86034074,0.86730542,0.91073631,KGE_similarity7,0.89034668,KGE_geo500,0.91073631,KGE_similarity7,500,7,43.56646,-71.74786,221.5612851,0.58510786,0.30750996,1.1105121,0.056399725,3.2602885,0.6344285,3.128184,1.0771906,0.0,0.0,68.0,100.0,7.0,58.0,0,0.8349238,0.86154276
11,1118300,0.67322921,0.56064111,0.61865071,0.65538563,0.59665487,0.63779292,0.25162731,0.36312806,0.30773793,0.39394501,0.34884815,0.46186063,0.47279448,0.51603548,0.54828161,0.50755591,0.47674738,0.55034243,0.50543019,0.35506729,0.47068285,0.50278684,0.67322921,0.65719589,0.6652691,0.62864651,0.58785972,0.45930139,0.44145522,0.46760895,0.51007737,0.50065698,0.51461679,0.55160402,0.51548094,0.49470201,0.54505389,0.60581934,0.34884366,0.33030017,0.4722776,0.52010998,0.67322921,KGE_similarity3,0.67322921,KGE_geo3,0.67322921,KGE_similarity3,3,3,41.47482,-71.83424,13.7009353,0.669984,0.1581149,1.1248407,0.060438056,3.490607,0.66132784,3.2302334,1.1860272,1.957378741,0.0,23.08524252,100.0,6.0,63.0,0,0.58444082,0.59433739
12,1121000,0.52634465,0.48836807,0.4991335,0.81732963,0.83770545,0.80701458,0.80495269,0.82664216,0.75965431,0.79734783,0.75472496,0.73708632,0.7214464,0.77798752,0.73034362,0.76187897,0.77297511,0.72799725,0.70789728,0.72572881,0.73560076,0.38425199,0.7712539,0.81980197,0.82926068,0.80248003,0.81962671,0.78264065,0.77651814,0.77054717,0.75767763,0.75229739,0.70702307,0.65940665,0.62548976,0.57065429,0.48191152,0.73568222,0.81066279,0.81742158,0.80248776,0.76612507,0.83770545,KGE_similarity15,0.82926068,KGE_geo7,0.83770545,KGE_similarity15,7,15,41.84371,-72.16897,94.39441251,0.64231944,0.23684502,1.1287262,0.057015743,3.399857,0.65065026,3.19862,1.1122485,0.0,0.0,37.89752098,100.0,6.0,60.10557227,0,0.79888663,0.78965036
13,1123000,0.92509448,0.85919288,0.82409993,0.86122167,0.41508614,0.7492432,0.8391768,0.87108583,0.86456778,0.9018333,0.8522903,0.85454803,0.79404952,0.82609348,0.86065357,0.83370765,0.83452734,0.80728472,0.87611621,0.90204761,0.76396063,0.14233398,0.92509448,0.88864735,0.90096053,0.81504163,0.85825526,0.87737491,0.88840086,0.84834068,0.8075485,0.74985238,0.70636967,0.81321179,0.81022364,0.80891339,0.81322966,0.85329753,0.88932545,0.90921735,-0.10505137,-0.20324914,0.92509448,KGE_similarity3,0.92509448,KGE_geo3,0.92509448,KGE_similarity3,3,3,41.67177,-72.0523,83.9188029,0.6294172,0.14965889,1.1337749,0.058590006,3.371763,0.6505818,3.2849987,1.0787272,0.0,0.0,31.06997247,99.98590866,6.992146037,60.02372329,0,0.87716234,0.87959591
14,1134500,0.83781218,0.83261622,0.86741384,0.85029459,0.85612872,0.8575917,0.8540518,0.84959733,0.78500475,0.7571787,0.84276164,0.8445489,0.75923328,0.73666131,0.74178594,0.74487718,0.72428197,0.72268531,0.71946412,0.78684374,0.78707103,0.79201381,0.62401805,0.67657268,0.7275666,0.76312987,0.75080604,0.75540104,0.7452862,0.7421694,0.74643339,0.71383855,0.71135515,0.70802068,0.71329778,0.70935809,0.71212047,0.72470293,0.78522256,0.79203449,0.79778634,0.78939614,0.86741384,KGE_similarity7,0.79778634,KGE_geo550,0.86741384,KGE_similarity7,550,7,44.51172,-71.83731,209.0953394,0.50882,0.28663722,1.0916955,0.043189596,2.6984606,0.55188227,3.1998343,0.91987795,0.0,0.0,72.73058483,99.86529242,7.134707584,57.86529242,0,0.80858382,0.76536252
15,1137500,0.7694828,0.7647158,0.75930757,0.75901645,0.76173574,0.79146356,0.79404891,0.82879123,0.80037713,0.81065896,0.82045713,0.83175945,0.83477027,0.82018349,0.82403525,0.84151067,0.84749546,0.84805458,0.82143718,0.82392351,0.81753839,0.81585501,0.79115885,0.78927802,0.78355644,0.78700023,0.78907787,0.80880659,0.837923,0.82790188,0.82427808,0.81606239,0.81341996,0.83334666,0.82178933,0.82691249,0.82548719,0.82077474,0.80533805,0.81564243,0.81800006,0.81212891,0.84805458,KGE_similarity400,0.837923,KGE_geo40,0.84805458,KGE_similarity400,40,400,44.26867,-71.63036,237.8074088,0.45875534,0.37096673,1.0807248,0.044900753,2.6376376,0.5410678,3.6186044,0.8030125,0.0,0.0,107.2366883,97.55895262,6.088209476,59.91179052,0,0.76591226,0.8127047
16,1139000,0.87200144,0.9005629,0.9023437,0.64230791,0.60055154,0.83325845,0.88593635,0.88320522,0.89139934,0.89762701,0.90141211,0.89658861,0.86815141,0.90513222,0.90475791,0.90535461,0.82406108,0.91361734,0.90456296,0.91722354,0.91245995,0.82289702,0.74583831,0.74971054,0.81234838,0.78241921,0.78624431,0.83363333,0.82996955,0.89739113,0.88957884,0.90022755,0.90803224,0.89816113,0.90653973,0.89929876,0.90426401,0.90826912,0.78378894,0.78120256,0.84189571,0.80313511,0.91722354,KGE_similarity500,0.90826912,KGE_geo400,0.91722354,KGE_similarity500,400,500,44.15034,-72.06509,258.9832118,0.5430434,0.28042933,1.1092986,0.046543464,2.8827097,0.58542097,3.1419117,0.9249999,0.0,96.80400895,68.1737194,100.0,9.45657015,54.54342985,0,0.80756636,0.77861212
17,1139800,0.79000979,0.58189706,0.76878954,0.77625689,0.74273799,0.74727448,0.76104757,0.74022051,0.73431224,0.69805919,0.75414148,0.7434125,0.75633261,0.76669284,0.75059431,0.6711394,0.62008771,0.2895747,0.43797107,0.42378995,0.64520034,0.0547508,0.83636266,0.8589534,0.83015421,0.83621814,0.82286457,0.78469756,0.82598112,0.78221299,0.76900893,0.74375145,0.77041016,0.77668653,0.77823683,0.77557571,0.77484531,0.77415567,0.41672096,0.2202864,0.69441213,0.62996546,0.8589534,KGE_geo5,0.8589534,KGE_geo5,0.79000979,KGE_similarity3,5,3,44.09284,-72.33565,24.97815045,0.53085566,0.27800378,1.092504,0.046885695,2.901247,0.5891855,3.2238295,0.8846743,0.0,91.15287613,88.46719677,99.9238134,10.97830425,52.0380933,0,0.82801589,0.766063
18,1142500,0.80974439,0.8298641,0.82705979,0.82915791,0.80841016,0.83230505,0.80206442,0.78590688,0.77132748,0.79614562,0.82461952,0.82493117,0.82384736,0.81854706,0.76330682,0.78553835,0.80488561,0.79968388,0.79477091,0.79677727,0.83164701,0.84072361,0.80564241,0.81320561,0.82899942,0.83362983,0.83537078,0.85927919,0.86149315,0.83884003,0.8364462,0.82134379,0.8191873,0.80667366,0.81867764,0.80845254,0.81102184,0.81424849,0.84032134,0.83673506,0.83435057,0.83226515,0.86149315,KGE_geo40,0.86149315,KGE_geo40,0.84072361,KGE_similarity600,40,600,43.93451,-72.65788,79.63046279,0.49495667,0.2760082,1.0849674,0.04544832,2.7267597,0.5621492,3.4551423,0.8535457,0.0,60.31541301,99.83122001,97.02920025,9.006353538,53.01977764,0,0.84001341,0.83812043
19,1144000,0.90621635,0.91410952,0.77505807,0.77647212,0.77441201,0.73563765,0.77200821,0.79112641,0.76783099,0.7571114,0.77864822,0.75606935,0.77374993,0.79648404,0.76082318,0.70432378,0.7226905,0.72873641,0.69205486,0.70447065,0.6578276,0.64762701,0.78105218,0.80399859,0.83599803,0.84541575,0.89263524,0.8508174,0.84260495,0.83033254,0.78623578,0.78901781,0.77191116,0.78488168,0.80037004,0.79563717,0.80404733,0.81266168,0.81406525,0.70379805,0.62893566,0.67004186,0.91410952,KGE_similarity5,0.89263524,KGE_geo15,0.91410952,KGE_similarity5,15,5,43.71424,-72.41815,1777.408717,0.5183132,0.28138173,1.0881411,0.046475016,2.8336701,0.5760438,3.3365297,0.90279603,0.0,60.71922576,101.051871,97.33824912,9.515634469,53.24381839,0,0.86115947,0.85779334
